"These are the DSM elements we have time series for from CalLite-CV (that's the full name, there's a completely separate model called CalLite naturally). I used the names from your Google Doc (https://docs.google.com/spreadsheets/d/1FpO5moi003WxAz0-RqLlGkueru8lzsOtWV94rKkpzsc). The dates are the CalLite-CV dates: October 2014 in CalLite-CV corresponds to October 1925 in CalSim II in terms of model calibration, for reference. These results are the Outflow elements of each site listed on the Google Doc as of 1 PM 100417 (I saved those matches in another csv called 'matches for master csv.csv'. I left the Delta out of this for now... POTENTIAL PROBLEM: I'm noticing many 0-outflow months for NewHogan which is our Calaveras number. It's possible we could use the Calaveras_River node to get around this, even though it's below the anadromy limit; I think it's only got a 0 in the first month of the model run.",,,,,,,,,,,,,,
date,Upper Sacramento River,Clear Creek,Upper-mid Sacramento River,Feather River,Yuba River,Lower-mid Sacramento River,Yolo Bypass,American River,Lower Sacramento River,Calaveras River,Merced River,Stanislaus River,Tuolumne River,San Joaquin River
6/1/2022 0:00,8833.688477,50,9151.195313,2117.808838,650,7088.465332,676.0563354,6906.395508,11510.31445,158.0781555,151.490921,986.4927368,172.8712006,1640.821045
7/1/2022 0:00,6262.255859,85,7098.800293,3605.068604,500,8731.131836,831.7172852,2827.862549,9175.359375,170.6885223,120.3157196,800.6294556,176.4303741,1429.651611
8/1/2022 0:00,6010.757813,85,6656.077148,1465.904541,500,6585.075684,1086.077026,-681.0849609,3727.478271,151.4450531,98.73603821,297.0634155,200.6426392,1720.209717
9/1/2022 0:00,4322.011719,150,4841.212402,1487.584106,589.9414063,6920.183594,1166.213257,1.901866317,6520.478027,61.67631531,69.62044525,291.8643494,198.2690277,1583.976685
10/1/2022 0:00,4370.813965,150,4755.908203,1489.120239,500,5553.865234,393.5028687,500,5450.897461,25.51113892,236.1253204,636.5397339,303.741272,1583.028442
11/1/2022 0:00,3857.524414,150,4484.57373,1505.229736,623.3452759,6233.021973,391.2514038,498.6279907,6470.308105,3.492874146,149.6790619,256.3856506,275.4880981,1817.530884
12/1/2022 0:00,3250,150,5411.106934,900,655.4898682,14424.55859,426.8661804,520.6980591,15559.65039,0,145.8772583,433.6864929,415.9846191,1357.360352
1/1/2023 0:00,3250,150,5453.375488,900,790.3557739,9621.436523,81.68718719,541.9714966,10358.67188,0,155.5466003,605.0623779,333.0370789,1469.91748
2/1/2023 0:00,3250,50,5454.216309,900,1415.250732,11502.60645,91.06558228,958.0754395,12880.1416,0,159.4185028,738.8165894,333.4154663,1697.796265
3/1/2023 0:00,3499.070557,50,5001.347168,750,1915.910156,9105.100586,71.90471649,3931.416748,12699.87012,10.99410629,197.2665253,248.128952,275.4190674,1656.641968
