A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
331,30Apr1949,5082,2954
332,31May1949,10373,3482
333,30Jun1949,14704,4971
334,31Jul1949,15193,5031
335,31Aug1949,11926,4365
336,30Sep1949,5984,3498
337,31Oct1949,4143,3801
338,30Nov1949,2699,3471
339,31Dec1949,1443,2461
340,31Jan1950,1152,481
341,28Feb1950,2061,255
342,31Mar1950,2135,758
343,30Apr1950,5226,4341
344,31May1950,11026,5499
345,30Jun1950,14275,7390
346,31Jul1950,15053,7693
347,31Aug1950,11989,6935
348,30Sep1950,5606,5847
349,31Oct1950,3295,5176
350,30Nov1950,2403,5063
351,31Dec1950,1188,4026
352,31Jan1951,1151,1654
353,28Feb1951,2065,1492
354,31Mar1951,2674,2296
355,30Apr1951,6402,5149
356,31May1951,11399,5620
357,30Jun1951,16265,8881
358,31Jul1951,17677,8966
359,31Aug1951,12454,8553
360,30Sep1951,6658,7363
361,31Oct1951,3787,6182
362,30Nov1951,2725,6339
363,31Dec1951,1479,4143
364,31Jan1952,1499,921
365,29Feb1952,2435,1182
366,31Mar1952,2869,1857
367,30Apr1952,6235,4177
368,31May1952,12890,6314
369,30Jun1952,16265,9022
370,31Jul1952,18760,9338
371,31Aug1952,15158,8944
372,30Sep1952,6809,7700
373,31Oct1952,4674,7292
374,30Nov1952,3080,6679
375,31Dec1952,1597,4212
376,31Jan1953,1659,1712
377,28Feb1953,2743,1396
378,31Mar1953,2888,2006
379,30Apr1953,5576,4326
380,31May1953,11906,5722
381,30Jun1953,15568,8375
382,31Jul1953,17688,8729
383,31Aug1953,13339,8015
384,30Sep1953,6646,6973
385,31Oct1953,4401,6279
386,30Nov1953,2785,5955
387,31Dec1953,1758,4518
388,31Jan1954,1472,722
389,28Feb1954,2484,542
390,31Mar1954,2329,1514
391,30Apr1954,4830,3845
392,31May1954,11785,6007
393,30Jun1954,15250,8236
394,31Jul1954,16783,8557
395,31Aug1954,11590,7780
396,30Sep1954,6458,6702
397,31Oct1954,4365,6438
398,30Nov1954,2592,5532
399,31Dec1954,1414,4510
400,31Jan1955,1346,697
401,28Feb1955,2316,313
402,31Mar1955,2594,883
403,30Apr1955,4882,2922
404,31May1955,10853,3921
405,30Jun1955,14268,5262
406,31Jul1955,14720,5378
407,31Aug1955,11531,4684
408,30Sep1955,5471,3608
409,31Oct1955,3804,3784
410,30Nov1955,2526,3470
