A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
545,28Feb1967,2322,1945
546,31Mar1967,3052,2520
547,30Apr1967,6459,5162
548,31May1967,12068,8500
549,30Jun1967,16328,9971
550,31Jul1967,18599,10411
551,31Aug1967,14762,9984
552,30Sep1967,6964,8490
553,31Oct1967,5204,8086
554,30Nov1967,2911,6108
555,31Dec1967,2227,7334
556,31Jan1968,2521,563
557,29Feb1968,3132,400
558,31Mar1968,2316,523
559,30Apr1968,8390,3916
560,31May1968,9704,5125
561,30Jun1968,13030,7366
562,31Jul1968,13727,8723
563,31Aug1968,10506,8208
564,30Sep1968,5644,7215
565,31Oct1968,4172,5344
566,30Nov1968,2210,4925
567,31Dec1968,1446,4019
568,31Jan1969,1444,292
569,28Feb1969,1919,2272
570,31Mar1969,3381,3072
571,30Apr1969,9724,6333
572,31May1969,12451,8762
573,30Jun1969,17215,10383
574,31Jul1969,18229,10360
575,31Aug1969,14472,10024
576,30Sep1969,6907,8485
577,31Oct1969,4818,7966
578,30Nov1969,3011,7911
579,31Dec1969,2106,6730
580,31Jan1970,2520,1988
581,28Feb1970,3243,1729
582,31Mar1970,2346,2267
583,30Apr1970,9112,5135
584,31May1970,10345,6875
585,30Jun1970,13575,8004
586,31Jul1970,14320,8235
587,31Aug1970,11537,8202
588,30Sep1970,5773,6693
589,31Oct1970,4229,6141
590,30Nov1970,2083,5543
591,31Dec1970,1576,4746
592,31Jan1971,1654,2459
593,28Feb1971,2126,1530
594,31Mar1971,2403,1309
595,30Apr1971,9299,4641
596,31May1971,8602,5731
597,30Jun1971,12836,7817
598,31Jul1971,13002,8323
599,31Aug1971,10565,8213
600,30Sep1971,5309,6832
601,31Oct1971,4444,6331
602,30Nov1971,2416,5720
603,31Dec1971,1426,4575
604,31Jan1972,1386,840
605,29Feb1972,1708,293
606,31Mar1972,2965,581
607,30Apr1972,8891,3752
608,31May1972,9112,4510
609,30Jun1972,12262,6345
610,31Jul1972,12461,7314
611,31Aug1972,10182,6769
612,30Sep1972,4917,5441
613,31Oct1972,3704,4244
614,30Nov1972,2043,3872
615,31Dec1972,1402,3357
616,31Jan1973,1172,307
617,28Feb1973,1577,2119
618,31Mar1973,2679,2684
619,30Apr1973,8769,5347
620,31May1973,10741,7313
621,30Jun1973,15142,8906
622,31Jul1973,15506,8904
623,31Aug1973,12448,8785
624,30Sep1973,6055,7200
625,31Oct1973,4227,6432
626,30Nov1973,2354,6237
627,31Dec1973,1798,5224
628,31Jan1974,1878,2427
629,28Feb1974,2447,1843
630,31Mar1974,2647,2338
631,30Apr1974,7742,4635
632,31May1974,10949,7106
633,30Jun1974,15350,8514
634,31Jul1974,14770,8110
635,31Aug1974,12766,8498
636,30Sep1974,6303,6937
637,31Oct1974,4344,6192
638,30Nov1974,2725,6032
639,31Dec1974,1703,4974
640,31Jan1975,2027,882
641,28Feb1975,2490,321
642,31Mar1975,2501,2457
643,30Apr1975,7861,4940
644,31May1975,10546,7178
645,30Jun1975,14746,8585
646,31Jul1975,14790,8536
647,31Aug1975,11931,8451
648,30Sep1975,5992,7008
649,31Oct1975,4000,6023
650,30Nov1975,2683,6277
651,31Dec1975,1861,5242
652,31Jan1976,1860,947
653,29Feb1976,2475,225
654,31Mar1976,3420,962
655,30Apr1976,8773,1722
656,31May1976,9813,3298
657,30Jun1976,12849,4850
658,31Jul1976,13004,5582
659,31Aug1976,9815,4796
660,30Sep1976,5135,3657
661,31Oct1976,4313,4084
662,30Nov1976,2366,3681
